[exp227] psnr : 39.34157654606276, min: 38.18677155504843, max: 40.92870465256578 
[exp227] psnr : 39.294005887556295, min: 38.209169279522364, max: 40.60967584996447 
[exp227] psnr : 39.329695512930144, min: 38.09039689194941, max: 40.69407576164853 
[exp227] psnr : 39.30263391372738, min: 38.17721136648173, max: 40.97982072873571 
[exp227] psnr : 39.31202506272563, min: 38.115661824457746, max: 40.96315962624861 
[exp227] psnr : 39.31201134183401, min: 38.11567228039769, max: 40.963173407948155 
[exp227] psnr : 39.36502698208539, min: 38.15582215136778, max: 41.32924767734011 
[exp227] psnr : 39.36502307111591, min: 38.155849367250816, max: 41.32924191050868 
[exp227] psnr : 40.87381363922264, min: 38.369757806961786, max: 42.35240699468933 
[exp226] psnr : 40.83833895435605, min: 38.513755655318406, max: 42.43488845206954 
[exp228] psnr : 40.37514864616865, min: 38.392503163672885, max: 41.66156221085359 
[exp228] psnr : 39.485770693633036, min: 38.028275235608156, max: 41.23817747309603 
[exp228] psnr : 39.34996174557565, min: 37.85848931689013, max: 40.76416578541451 
[exp229] psnr : 39.61394689568188, min: 38.20335909802505, max: 41.18351389909368 
[exp232] psnr : 39.334004860031, min: 38.016911459005094, max: 41.626694500965904 
[exp232] psnr : 38.030908298568505, min: 36.6125685728706, max: 39.88438072294827 
[exp232] psnr : 38.428984889546406, min: 36.51913723161452, max: 40.666779601629266 
[exp232] psnr : 38.994295658943784, min: 36.73809782224654, max: 41.38544186027701 
[exp233] psnr : 40.683724500065836, min: 38.40105444260638, max: 42.329374667197214 
[exp233] psnr : 39.31010654935018, min: 38.08692242981009, max: 41.01796278340576 
[exp234] psnr : 40.00249446805591, min: 38.29351504521838, max: 41.61089263857398 
[exp234] psnr : 40.30387490109758, min: 38.69948153362438, max: 41.996309931905465 
[exp234] psnr : 35.888360127648, min: 35.38915450116352, max: 36.301735862203756 
[exp234] psnr : 39.46364231972835, min: 37.83055505187405, max: 40.852722603291234 
[exp235] psnr : 39.80804365005331, min: 38.485013031585254, max: 41.71375855921347 
[exp235] psnr : 39.792104413392366, min: 37.765316260124465, max: 41.93122121907362 
[exp236] psnr : 39.63705706338535, min: 38.212042402653104, max: 41.42296031300123 
[exp236] psnr : 40.12839796937262, min: 38.39910668746518, max: 41.57060668511822 
[exp236] psnr : 40.11251834671183, min: 38.320889271380466, max: 41.66545983021866 
[exp236] psnr : 40.09023137157536, min: 38.29881285110339, max: 41.808060627382545 
[exp236] psnr : 40.683442780632994, min: 38.549020509731875, max: 42.2813591112497 
[exp236] psnr : 40.68343771406675, min: 38.548894643602544, max: 42.28135193085479 
[exp236] psnr : 39.72155586845274, min: 38.21346673183966, max: 41.246293251869155 
[exp236] psnr : 40.727998543408226, min: 38.41813156801775, max: 42.365479885063564 
[exp236] psnr : 39.86174336862767, min: 38.055476580201436, max: 41.24371861716704 
[exp236] psnr : 40.02336772665894, min: 38.525081099450546, max: 41.23436617971696 
[exp236] psnr : 39.842219356253025, min: 38.384764296685205, max: 41.41875266059431 
[exp236] psnr : 39.94595507879601, min: 38.320005487092736, max: 41.19179736666726 
[exp236] psnr : 39.62521342390028, min: 37.872866781821905, max: 42.012128586662996 
[exp236] psnr : 39.882651339351305, min: 38.388605635977264, max: 41.38901509090421 
[exp236] psnr : 39.76177492723407, min: 38.395335872783306, max: 41.27397288279851 
[exp236] psnr : 39.815381642545965, min: 38.37401630800861, max: 41.34507067539609 
[exp236] psnr : 39.74276423772281, min: 38.11320317636379, max: 41.35610249155341 
[exp236] psnr : 39.817412853058876, min: 38.39389640505142, max: 40.995058094261545 
[exp236] psnr : 40.04573187220784, min: 38.534041330696944, max: 41.47666880526816 
[exp236] psnr : 40.73415668090057, min: 38.659131468355106, max: 42.352966121352765 
[exp236] psnr : 39.91565775213752, min: 38.3346156062254, max: 41.31831254229248 
[exp236] psnr : 39.94316008721448, min: 38.036647532822265, max: 41.63336561177954 
[exp236] psnr : 39.81694646534745, min: 37.80742621263303, max: 41.50063440671428 
[exp236] psnr : 39.63138948304024, min: 38.065008289606496, max: 41.27386811624649 
[exp236] psnr : 39.48024594006862, min: 37.969549505696286, max: 41.29610901854325 
[exp236] psnr : 39.65691829692657, min: 38.05731250897451, max: 41.46412146288469 
[exp237] psnr : 39.69196518222546, min: 38.18244286346513, max: 41.59265103314098 
[exp236] psnr : 39.476136972592904, min: 38.09792740903285, max: 41.11667749329121 
[exp236] psnr : 39.531708950147554, min: 38.22378581419618, max: 40.86031417056354 
[exp236] psnr : 39.57275867140381, min: 38.05572570420432, max: 40.824944046132515 
[exp236] psnr : 39.52301733374028, min: 38.158933086774944, max: 41.193079254487515 
[exp238] psnr : 39.60462119918873, min: 38.206618922642804, max: 41.096170697044485 
[exp238] psnr : 39.60606085480105, min: 38.17317211866821, max: 40.766348594549804 
[exp238] psnr : 39.74913544765689, min: 38.081201888608916, max: 41.10464720855455 
[exp238] psnr : 39.75217862293985, min: 38.145732930790835, max: 41.11372962950726 
[exp238] psnr : 39.37898908735531, min: 38.30610323081988, max: 41.294453098327594 
[exp238] psnr : 39.56398698271761, min: 38.249273597780785, max: 41.77283186104959 
[exp238] psnr : 39.606916187030905, min: 38.22602338311336, max: 41.91780538934278 
[exp239] psnr : 39.51462863939403, min: 38.22572309251885, max: 41.75237914919042 
[exp240] psnr : 39.590605086836725, min: 37.9587728527001, max: 41.95008951192345 
[exp240] psnr : 39.55631141747669, min: 37.9913058314665, max: 41.0936540173715 
[exp241] psnr : 39.4710057699226, min: 38.001086156414566, max: 41.1755668099768 
[exp241] psnr : 39.53376505116375, min: 37.99336467909424, max: 41.19431567911231 
[exp241] psnr : 39.54012537901816, min: 37.979890506726136, max: 41.337426980344574 
[exp241] psnr : 39.57639382698496, min: 37.856532813152974, max: 41.162498919865314 
[exp239] psnr : 39.693163369284335, min: 38.26131116808892, max: 41.23996912354816 
[exp242] psnr : 39.3165774119361, min: 38.13575721039463, max: 41.092670908696 
[exp242] psnr : 39.23130704015053, min: 37.82205862570201, max: 40.608792496288174 
[exp243] psnr : 39.94316109771238, min: 38.339284140310966, max: 41.592888783671384 
[exp243] psnr : 39.38651016750168, min: 38.13143596263332, max: 40.9591584226892 
[exp243] psnr : 39.98266261029976, min: 38.36031411709275, max: 41.083879801034264 
[exp245] psnr : 39.690666851192404, min: 38.38972974425112, max: 40.90797474663742 
[exp245] psnr : 41.167841770522635, min: 39.74866787974045, max: 42.71880127468013 
[exp246] psnr : 41.18407779311083, min: 39.69419004026071, max: 42.59615036268936 
[exp246] psnr : 39.55962939856429, min: 38.2452087556859, max: 41.20048293370138 
[exp247] psnr : 39.38187079944848, min: 38.1907977208489, max: 41.28001375815714 
[exp248] psnr : 39.673544253243634, min: 38.30383839840506, max: 41.749333953309275 
[exp249] psnr : 39.57430896226835, min: 38.194038601284596, max: 41.450081362838745 
[exp249] psnr : 39.5804484996563, min: 38.221732667042126, max: 41.49025661109712 
[exp250] psnr : 39.35531243016485, min: 38.06679764637725, max: 41.60031830183404 
[exp250] psnr : 39.560618269103074, min: 38.307188929651886, max: 41.32299631579646 
[exp249] psnr : 39.58044690353345, min: 38.22171800519606, max: 41.49025661109712 
[exp251] psnr : 39.5657191585559, min: 38.288128640487585, max: 41.43626264147861 
[exp252] psnr : 39.60082687598919, min: 38.31036477632632, max: 41.34001385205306 
[exp253] psnr : 39.742079333686725, min: 38.35349315016398, max: 41.618383865636574 
[exp253] psnr : 39.471469113493825, min: 38.211265999519256, max: 41.24955785636964 
[exp254] psnr : 39.54529730653326, min: 38.224527216258885, max: 41.17505251093508 
